Date,OP_Price,AVPI,PR,LAR,Votable Supply,Circulating Supply,OP_Price_Scaled,AVPI_Scaled,PR_Scaled,LAR_Scaled,F,IVS,IVS/VS
2025-06-02,4.469589505830697,0.5445426,0.0768636830609833,0.25819558,140117876.57035974,1822939924.1666665,0.8181809095287589,0.4602070354541747,0.5405471025954349,0.4718105634987917,0.856943,232385635.91,1.66
2025-06-03,4.486169220323411,0.54206187,0.07696491970626,0.4025016,140302424.89282328,1822939924.1666665,0.8222964218729036,0.4571061310535169,0.5432401646413698,0.7652362750978128,0.917278,253392433.04,1.81
2025-06-04,4.426750167878947,0.53610104,0.0770803352942919,0.46033996,140512820.5761177,1822939924.1666665,0.8075470820142447,0.4496551130150473,0.5463104099936178,0.8828423315930327,0.94352,263504088.88,1.88
2025-06-05,4.5308185464785256,0.53942657,0.0772078451795732,0.43792605,140745263.43672305,1822939924.1666665,0.8333795350971913,0.4538120146575153,0.5497023836370949,0.8372668421472951,0.928303,258232424.8,1.83
2025-06-06,4.605525259520078,0.5436533,0.0773446661088555,0.39095294,140994679.7711732,1822939924.1666665,0.8519236662309391,0.4590954133576528,0.5533420464363967,0.7417537219893898,0.904342,249993427.16,1.77
2025-06-07,4.576069263153075,0.5418261,0.0774879589402703,0.3775129,141255893.99440625,1822939924.1666665,0.8446119289443434,0.456811419323283,0.5571538725264751,0.7144253173883945,0.898912,248532970.66,1.76
2025-06-08,4.404547022103572,0.52887124,0.0776350577866699,0.37443057,141524046.3543069,1822939924.1666665,0.8020356891276208,0.4406178866196412,0.5610669449041388,0.7081578389170667,0.903137,250502741.51,1.77
2025-06-09,4.124760831084671,0.5046993,0.0777835817928655,0.32747734,141794796.6948981,1822939924.1666665,0.7325855473072944,0.4104030405386749,0.5650179288872836,0.6126851419039934,0.892121,247092201.26,1.74
2025-06-10,4.032952928676108,0.4879889,0.0779315301462808,0.2982823,142064497.65505353,1822939924.1666665,0.7097964603288358,0.389515095096506,0.5689535995552748,0.5533211916879048,0.880532,243543528.51,1.71
2025-06-11,4.184748144461502,0.48822382,0.0780772317771941,0.2564612,142330102.9750615,1822939924.1666665,0.7474759441716623,0.389808744329515,0.5728295036922693,0.4682839491158082,0.85429,235181727.72,1.65
2025-06-12,4.252984725018094,0.48784566,0.0782193453587385,0.22579196,142589167.49662513,1822939924.1666665,0.7644140217076951,0.3893360455641708,0.5766099597872243,0.4059224234414035,0.83707,230032563.52,1.61
2025-06-13,4.065904475825128,0.47157195,0.0783567922405586,0.33808804,142839724.9049472,1822939924.1666665,0.7179758833888683,0.3689939611962515,0.580266273958344,0.6342604871187233,0.891034,248530573.7,1.74
2025-06-14,4.086800393848207,0.4648233,0.078488789981982,0.46035948,143080348.85768783,1822939924.1666665,0.7231627886642278,0.3605581707299374,0.5837776319908516,0.8828820227292058,0.940652,267213420.21,1.87
2025-06-15,4.161708666285887,0.46353033,0.0786147573413666,0.4408853,143309979.78625172,1822939924.1666665,0.7417569520336453,0.3589419624513588,0.5871285718966348,0.8432840549915644,0.927406,262600326.24,1.83
2025-06-16,4.031731686111619,0.4510405,0.0787342919206521,0.3946833,143527884.1431497,1822939924.1666665,0.709493316456753,0.3433297157294392,0.5903083892223742,0.7493388770475122,0.911557,257111287.48,1.79
2025-06-17,4.051647625891294,0.44541293,0.0788471701653607,0.34770912,143733654.40199903,1822939924.1666665,0.7144369658811454,0.336295271602908,0.5933111370495632,0.653823581197204,0.888854,249316214.29,1.73
2025-06-18,4.070178951249645,0.4410617,0.0789532802982537,0.37017834,143927086.7996082,1822939924.1666665,0.7190369183290097,0.330856248309251,0.5961338419189528,0.6995115356399566,0.896208,252263791.71,1.75
2025-06-19,3.89535184421697,0.42502797,0.0790526446747787,0.32352751,144108222.0886156,1822939924.1666665,0.6756403256192702,0.3108141381578202,0.5987770985223899,0.6046537259003841,0.881875,247515249.39,1.72
2025-06-20,3.9466890477002896,0.4200719,0.0791453471278649,0.29653898,144277213.0914147,1822939924.1666665,0.6883835423219653,0.3046190668389069,0.6012431369543152,0.5497763990898912,0.866463,242493453.65,1.68
2025-06-21,4.054500058048028,0.42134425,0.0792315441456469,0.2607153,144434345.0764735,1822939924.1666665,0.7151450130406445,0.3062095001848078,0.6035361200576865,0.4769340547712299,0.845708,235821659.85,1.63
2025-06-22,4.249647741038299,0.43052986,0.0793114648714643,0.19826993,144580035.75833443,1822939924.1666665,0.7635856963003369,0.3176914826946844,0.6056621434239702,0.3499603004655249,0.811209,225068954.34,1.56
2025-06-23,4.436195640759687,0.44255626,0.0793853552152427,0.24290812,144714733.41601858,1822939924.1666665,0.8098916917633481,0.3327244434296578,0.6076277486635235,0.4407256937959092,0.82284,228912617.77,1.58
2025-06-24,4.199366385081743,0.43063095,0.0794534890312176,0.3859013,144838937.2693449,1822939924.1666665,0.7511045681596518,0.3178178448646354,0.609440220751523,0.7314819324844053,0.891812,252286595.84,1.74
2025-06-25,4.004276868542048,0.41446337,0.0795161792956577,0.43944377,144953217.85524938,1822939924.1666665,0.7026783233117586,0.297608422650212,0.6111078853738721,0.8403529093190463,0.921372,263327634.62,1.82
2025-06-26,4.06245292922746,0.4112571,0.0795737389848321,0.42254788,145058145.71066794,1822939924.1666665,0.7171191205878358,0.2936005956183718,0.6126390682164851,0.805997526595936,0.910343,259403556.83,1.79
2025-06-27,4.153363803809094,0.41338003,0.0796264698972857,0.37645832,145154270.99621746,1822939924.1666665,0.7396855421460671,0.2962542511872118,0.6140417976193429,0.7122809793563561,0.886361,250895097.55,1.73
2025-06-28,4.2469607039192905,0.4177085,0.0796746905981495,0.35352436,145242174.4369934,1822939924.1666665,0.7629187044509107,0.301664824555178,0.615324547941321,0.6656480424020732,0.872554,246211308.52,1.7
2025-06-29,4.907001972856451,0.45803985,0.0792000397308614,0.36407217,144376914.4209735,1822939924.1666665,0.9267579545869448,0.3520788803772421,0.6026980505670756,0.687095509770803,0.854717,238706044.57,1.65
2025-06-30,5.00430584615163,0.4783919,0.0792046561308282,0.3236348,144385329.8407789,1822939924.1666665,0.9509112831533312,0.3775188764297779,0.6028208544342468,0.604871884814319,0.836862,232863061.09,1.61
2025-07-01,5.116403723906833,0.49716684,0.0765188536913287,0.30083394,144349915.79811117,1886462078.7499995,0.978736864821622,0.4009874901314244,0.5313740715729005,0.5585095877281014,0.840213,233890824.05,1.62
2025-07-02,5.173087182890938,0.51319623,0.076481572864797,0.2625773,144279586.93259466,1886462078.7499995,0.992807159895787,0.4210241752970247,0.5303823399850036,0.480720166223804,0.824453,228732660.98,1.59
2025-07-03,5.162916652558886,0.52498084,0.0764464577070237,0.21325272,144213343.519066,1886462078.7499995,0.99028257220482,0.435754899321419,0.5294482187645917,0.3804256671736407,0.80634,223004134.62,1.55
2025-07-04,4.980106579531046,0.52428216,0.0764196271773686,0.2852875,144162728.7423188,1886462078.7499995,0.9449044016391754,0.4348815516025412,0.5287344823414912,0.5268981191294145,0.844437,234962452.55,1.63
2025-07-05,5.002678702921164,0.5309473,0.0764044026880172,0.4367254,144134008.32048902,1886462078.7499995,0.9505073842771704,0.4432129548415072,0.5283294857680771,0.834825491601896,0.907948,256873617.29,1.78
2025-07-06,4.786839190280054,0.5232982,0.0764016753495558,0.4434497,144128863.2999058,1886462078.7499995,0.8969304557348228,0.433651604815075,0.5282569340584002,0.8484983966720053,0.920149,261372780.9,1.81
2025-07-07,4.676180047034972,0.51648456,0.0764109537009946,0.41973776,144146366.55804825,1886462078.7499995,0.8694620050436035,0.425134577060947,0.5285037535380499,0.8002835483386282,0.914423,259276344.93,1.8
2025-07-08,4.554536548944993,0.5072687,0.0764309361808102,0.3697936,144184062.74845982,1886462078.7499995,0.839266954447633,0.4136147821498338,0.5290353205198279,0.6987292217192996,0.897537,253190732.87,1.76
2025-07-09,4.547687575838453,0.5035308,0.0764599539819046,0.38332823,144238803.72983316,1886462078.7499995,0.8375668628461119,0.4089424193537138,0.5298072419774207,0.7262499615954285,0.902888,255217668.15,1.77
2025-07-10,4.945409027274295,0.5267873,0.0764962680884668,0.359172,144307308.91478652,1886462078.7499995,0.9362915751223488,0.4380129684235027,0.5307732572167385,0.6771317129090632,0.876954,246144936.97,1.71
2025-07-11,4.621098947315435,0.5140485,0.0765381502860264,0.33229277,144386318.09225723,1886462078.7499995,0.8557894568266582,0.422089510014446,0.5318873928771986,0.6224766320608509,0.878737,246898711.68,1.71
