Date,Circulating Supply
15/07/2023,644594782
16/07/2023,644594782
17/07/2023,644594782
18/07/2023,644594782
19/07/2023,679080066
20/07/2023,679080066
21/07/2023,679080066
22/07/2023,679080066
23/07/2023,679080066
24/07/2023,679080066
25/07/2023,679080066
26/07/2023,679080066
27/07/2023,679080066
28/07/2023,679080066
29/07/2023,679080066
30/07/2023,679080066
31/07/2023,716708907
01/08/2023,716708907
02/08/2023,716708907
03/08/2023,716708907
04/08/2023,716708907
05/08/2023,716708907
06/08/2023,716708907
07/08/2023,716708907
08/08/2023,716708907
09/08/2023,716708907
10/08/2023,716708907
11/08/2023,716708907
12/08/2023,716708907
13/08/2023,716708907
14/08/2023,716708907
15/08/2023,716708907
16/08/2023,716708907
17/08/2023,716708907
18/08/2023,716708907
19/08/2023,716708907
20/08/2023,716708907
21/08/2023,716708907
22/08/2023,716708907
23/08/2023,716708907
24/08/2023,716708907
25/08/2023,716708907
26/08/2023,716708907
27/08/2023,716708907
28/08/2023,716708907
29/08/2023,716708907
30/08/2023,716708907
31/08/2023,798517235
01/09/2023,798517235
02/09/2023,798517235
03/09/2023,798517235
04/09/2023,798517235
05/09/2023,798517235
06/09/2023,798517235
07/09/2023,798517235
08/09/2023,798517235
09/09/2023,798517235
10/09/2023,798517235
11/09/2023,798517235
12/09/2023,798517235
13/09/2023,798517235
14/09/2023,798517235
15/09/2023,798517235
16/09/2023,798517235
17/09/2023,798517235
18/09/2023,798517235
19/09/2023,798517235
20/09/2023,798517235
21/09/2023,798517235
22/09/2023,798517235
23/09/2023,798517235
24/09/2023,798517235
25/09/2023,798517235
26/09/2023,798517235
27/09/2023,798517235
28/09/2023,798517235
29/09/2023,798517235
30/09/2023,798517235
01/10/2023,798517235
02/10/2023,798517235
03/10/2023,880444572
04/10/2023,880444572
05/10/2023,880444572
06/10/2023,880444572
07/10/2023,880444572
08/10/2023,880444572
09/10/2023,880444572
10/10/2023,880444572
11/10/2023,880444572
12/10/2023,880444572
13/10/2023,880444572
14/10/2023,880444572
15/10/2023,880444572
16/10/2023,880444572
17/10/2023,880444572
18/10/2023,880444572
19/10/2023,880444572
20/10/2023,880444572
21/10/2023,880444572
22/10/2023,880444572
23/10/2023,880444572
24/10/2023,880444572
25/10/2023,880444572
26/10/2023,880444572
27/10/2023,880444572
28/10/2023,880444572
29/10/2023,880444572
30/10/2023,880444572
31/10/2023,880444572
01/11/2023,880444572
02/11/2023,880444572
03/11/2023,880444572
04/11/2023,880444572
05/11/2023,880444572
06/11/2023,880444572
07/11/2023,880444572
08/11/2023,880444572
