Date,Votable Supply
2023-04-04,40350616.07
2023-04-05,40184945.37
2023-04-06,40225054.21
2023-04-07,40131353.46
2023-04-08,40105463.89
2023-04-09,40084805.96
2023-04-10,39995882.24
2023-04-11,39999024.71
2023-04-12,39973828.28
2023-04-13,39982268.63
2023-04-14,39907014.06
2023-04-15,39823522.13
2023-04-16,39788259.14
2023-04-17,39734217.21
2023-04-18,39631752.84
2023-04-19,39578267.64
2023-04-20,39522862.16
2023-04-21,39503294.68
2023-04-22,39492761.47
2023-04-23,39458880.46
2023-04-24,39458801.14
2023-04-25,39453801.55
2023-04-26,39471014.53
2023-04-27,40486042.71
2023-04-28,40406446.43
2023-04-29,40438405.41
2023-04-30,40480514.96
2023-05-01,40416413.89
2023-05-02,40372476.46
2023-05-03,40330312.35
2023-05-04,40358201.14
2023-05-05,40385951.43
2023-05-06,40323873.47
2023-05-07,40253848.36
2023-05-08,40276824.93
2023-05-09,38274003.39
2023-05-10,38249154.64
2023-05-11,38347780.17
2023-05-12,38329848.15
2023-05-13,38327226.64
2023-05-14,38287902.53
2023-05-15,38229759.73
2023-05-16,38225744.62
2023-05-17,38480311.67
2023-05-18,38475204.19
2023-05-19,38490523.75
2023-05-20,38492209.77
2023-05-21,38367988.28
2023-05-22,38360734.16
2023-05-23,38312564.67
2023-05-24,38295470.22
2023-05-25,38355117.9
2023-05-26,38347685.33
2023-05-27,38326184.73
2023-05-28,38327561.46
2023-05-29,38269024.26
2023-05-30,38092349.73
2023-05-31,38340310.39
2023-06-01,37725261.23
2023-06-02,37957370.83
2023-06-03,37968933.28
2023-06-04,37943549.39
2023-06-05,37937741.35
2023-06-06,38063561.19
2023-06-07,37955071.42
2023-06-08,37884120.66
2023-06-09,38006759.19
2023-06-10,38887193.01
2023-06-11,38870616.33
2023-06-12,38911349.47
2023-06-13,38893008.3
2023-06-14,38848717.74
2023-06-15,38897741.02
2023-06-16,38998203.21
2023-06-17,38929483.27
2023-06-18,38909327.45
2023-06-19,38925564.16
2023-06-20,39369491.33
2023-06-21,39382665.9
2023-06-22,39597165.79
2023-06-23,39658098.92
2023-06-24,39649981.51
2023-06-25,39704939.58
2023-06-26,39724037.63
2023-06-27,39802833.01
2023-06-28,40012116.56
2023-06-29,38532395.74
2023-06-30,38723350.59
2023-07-01,38866123.81
2023-07-02,38850671.91
2023-07-03,38712399.4
2023-07-04,38683876.44
2023-07-05,38648692.29
2023-07-06,38718262.75
2023-07-07,38725909.2
2023-07-08,38733337.64
2023-07-09,38692178.84
2023-07-10,38707208.4
2023-07-11,38706899.56
2023-07-12,38763286.94
2023-07-13,47015135.98
2023-07-14,47283165.27
2023-07-15,47388940.8
2023-07-16,47403276.91
2023-07-17,47542552.07
2023-07-18,47557484.16
