Weights,Monotonicity Score,Average Proportional Increase,Standard Deviation,Total Score
"w1=0.36, w2=0.26, w3=0.25, w4=0.13",0.3879003558718861,1.769961741911455,0.20116976182486088,0.4875915977707758
"w1=0.33, w2=0.27, w3=0.24, w4=0.15",0.3834519572953737,1.7795725561529072,0.20021010271043718,0.48757745906513716
"w1=0.34, w2=0.28, w3=0.25, w4=0.13",0.38701067615658363,1.7745759896045386,0.2028504662678898,0.48756539611883265
"w1=0.36, w2=0.27, w3=0.23, w4=0.13",0.3887900355871886,1.7694629181685126,0.2024361187937847,0.48755676578916146
"w1=0.33, w2=0.28, w3=0.25, w4=0.13",0.3861209964412811,1.7768953768798668,0.20302402279324774,0.4875323667586396
"w1=0.33, w2=0.26, w3=0.25, w4=0.15",0.38256227758007116,1.7798665115372858,0.19907928169187455,0.4875306565899304
"w1=0.32, w2=0.28, w3=0.27, w4=0.12",0.3861209964412811,1.7783928576546797,0.2040436964722705,0.4875259608098954
"w1=0.41, w2=0.24, w3=0.22, w4=0.12",0.3932384341637011,1.757118458844222,0.2017439120055751,0.4875197352490224
"w1=0.4, w2=0.25, w3=0.22, w4=0.13",0.3914590747330961,1.7605621696033384,0.20119149236502332,0.4874845235777088
"w1=0.4, w2=0.23, w3=0.21, w4=0.15",0.3887900355871886,1.7628881418849358,0.19832846130960338,0.4874741077777005
"w1=0.42, w2=0.24, w3=0.21, w4=0.12",0.39412811387900354,1.7548876043942283,0.20202431435497423,0.4874342835118552
"w1=0.33, w2=0.28, w3=0.28, w4=0.11",0.3879003558718861,1.7749263085800728,0.20504078018691788,0.48742320559588226
"w1=0.37, w2=0.25, w3=0.23, w4=0.15",0.3861209964412811,1.7700027148765756,0.19880593077121392,0.4874192619645915
"w1=0.36, w2=0.25, w3=0.23, w4=0.15",0.38523131672597866,1.7722447055823518,0.19883150498253893,0.4874151479846981
"w1=0.38, w2=0.26, w3=0.23, w4=0.13",0.3896797153024911,1.7650747456710387,0.20158763621434378,0.4873785159211502
"w1=0.31, w2=0.29, w3=0.28, w4=0.12",0.38523131672597866,1.781131643761255,0.20488583734348667,0.48737623591219437
"w1=0.31, w2=0.29, w3=0.26, w4=0.13",0.38434163701067614,1.7820140619996268,0.20399385708183476,0.487375473780713
"w1=0.32, w2=0.28, w3=0.28, w4=0.11",0.38701067615658363,1.7772565936786406,0.20527304667103585,0.4873747428127092
"w1=0.34, w2=0.26, w3=0.24, w4=0.15",0.3834519572953737,1.7771800585412048,0.19932538109684447,0.48736437602687444
"w1=0.41, w2=0.23, w3=0.23, w4=0.12",0.39234875444839856,1.7572823208872923,0.20093780227497507,0.4873495007191652
"w1=0.38, w2=0.23, w3=0.23, w4=0.15",0.3861209964412811,1.7677289457360177,0.1975250784825975,0.4873487638230649
"w1=0.43, w2=0.23, w3=0.22, w4=0.12",0.39412811387900354,1.7531116769365118,0.20123008532170114,0.4873173667302938
"w1=0.34, w2=0.25, w3=0.25, w4=0.15",0.38256227758007116,1.7774719424310954,0.1982357086158225,0.48730481469150794
"w1=0.4, w2=0.24, w3=0.24, w4=0.12",0.3914590747330961,1.759682885530077,0.20121229546553207,0.4873024258329039
"w1=0.41, w2=0.24, w3=0.22, w4=0.13",0.3914590747330961,1.7584444261272336,0.20061615741351124,0.48723357536794143
"w1=0.31, w2=0.29, w3=0.29, w4=0.11",0.3861209964412811,1.7799923033785803,0.2061593356315412,0.48721115820689426
"w1=0.33, w2=0.29, w3=0.23, w4=0.14",0.38523131672597866,1.7778361654034125,0.20325090897995413,0.4872076187496856
"w1=0.35, w2=0.26, w3=0.23, w4=0.15",0.38434163701067614,1.7745573736868085,0.19959909960983988,0.4872025633597479
"w1=0.33, w2=0.28, w3=0.23, w4=0.15",0.3834519572953737,1.7792991763497965,0.20136696407239485,0.48717572469592774
"w1=0.37, w2=0.27, w3=0.22, w4=0.14",0.3879003558718861,1.768405801672891,0.2015451304347367,0.4871677991401002
"w1=0.38, w2=0.24, w3=0.24, w4=0.14",0.38701067615658363,1.7666118730443257,0.19889960273744392,0.4871578318659238
"w1=0.42, w2=0.24, w3=0.22, w4=0.12",0.3932384341637011,1.7551625601592251,0.2017213308381255,0.48713532986225794
"w1=0.35, w2=0.25, w3=0.24, w4=0.15",0.3834519572953737,1.7748268141438186,0.19852035759887815,0.4871352341967871
"w1=0.34, w2=0.27, w3=0.24, w4=0.15",0.3834519572953737,1.7771866182876654,0.20009388296309139,0.48713513741629255
"w1=0.36, w2=0.25, w3=0.24, w4=0.15",0.38434163701067614,1.7725287339767655,0.1984917300544057,0.4871290462843695
"w1=0.32, w2=0.3, w3=0.23, w4=0.15",0.3834519572953737,1.7817379123448394,0.20319850831109107,0.48711400862332743
"w1=0.3, w2=0.29, w3=0.29, w4=0.12",0.3834519572953737,1.7838997176763025,0.20498830153546432,0.4870094317223081
"w1=0.38, w2=0.24, w3=0.22, w4=0.15",0.3861209964412811,1.767485601463444,0.19850537420698855,0.4870060062512328
"w1=0.37, w2=0.27, w3=0.22, w4=0.13",0.3887900355871886,1.7670167226157252,0.20264204792422771,0.48700574793947105
"w1=0.35, w2=0.27, w3=0.23, w4=0.15",0.38434163701067614,1.7745826283423503,0.20033672091303206,0.48698632789989854
"w1=0.34, w2=0.28, w3=0.24, w4=0.13",0.3861209964412811,1.774293082761148,0.20313620030929824,0.4869782546800807
"w1=0.42, w2=0.23, w3=0.23, w4=0.12",0.39234875444839856,1.7553186846583202,0.2009431364926534,0.4869551732080673
"w1=0.36, w2=0.26, w3=0.25, w4=0.12",0.3879003558718861,1.7685605755093445,0.20241828876822177,0.4869368064073455
"w1=0.36, w2=0.28, w3=0.22, w4=0.14",0.38701067615658363,1.7706638763986535,0.20234816016344134,0.4869336653089902
"w1=0.35, w2=0.26, w3=0.24, w4=0.15",0.3834519572953737,1.77483982768296,0.199254384809525,0.4869176287414214
"w1=0.38, w2=0.27, w3=0.21, w4=0.13",0.3896797153024911,1.7646244768275237,0.2028707349624173,0.4869035325280251
"w1=0.39, w2=0.23, w3=0.23, w4=0.15",0.3861209964412811,1.765564881961696,0.1975691533744502,0.48690272860064476
"w1=0.3, w2=0.29, w3=0.28, w4=0.12",0.3834519572953737,1.78359511087001,0.20516874389680959,0.486894377652646
"w1=0.33, w2=0.27, w3=0.27, w4=0.12",0.38523131672597866,1.7759921629434559,0.20307679649016977,0.4868910520046296
"w1=0.39, w2=0.24, w3=0.21, w4=0.15",0.38701067615658363,1.7650582710860847,0.19888833063995387,0.48685049310352263
"w1=0.35, w2=0.25, w3=0.25, w4=0.15",0.38256227758007116,1.7751168307197458,0.19820124571142508,0.48684413122055725
"w1=0.36, w2=0.27, w3=0.22, w4=0.15",0.38523131672597866,1.7720377176315747,0.20060390211615398,0.48684203125445813
"w1=0.39, w2=0.24, w3=0.24, w4=0.12",0.3896797153024911,1.7617227149626038,0.20123587343309512,0.4868136386138378
"w1=0.31, w2=0.29, w3=0.27, w4=0.12",0.38434163701067614,1.7808328130419937,0.20508995933874988,0.48681039331211184
"w1=0.34, w2=0.29, w3=0.23, w4=0.14",0.38523131672597866,1.775502569291981,0.20305376893092686,0.48680004154210754
"w1=0.44, w2=0.23, w3=0.21, w4=0.12",0.39412811387900354,1.7509490739908893,0.20153076306380796,0.4867946428185373
"w1=0.36, w2=0.26, w3=0.23, w4=0.15",0.38434163701067614,1.7722738228424282,0.19953392142074908,0.48676540664759904
"w1=0.4, w2=0.23, w3=0.22, w4=0.15",0.38701067615658363,1.763165397561181,0.19796076060012036,0.4867501894104919
"w1=0.34, w2=0.28, w3=0.23, w4=0.15",0.3834519572953737,1.7769277448990601,0.201213990981751,0.48674733033297357
"w1=0.38, w2=0.25, w3=0.25, w4=0.12",0.3887900355871886,1.7641901604257395,0.20162024395740138,0.4867469766915218
"w1=0.39, w2=0.23, w3=0.22, w4=0.15",0.3861209964412811,1.7652807586906305,0.19791889998061693,0.4867409799645816
"w1=0.43, w2=0.23, w3=0.21, w4=0.12",0.3932384341637011,1.7528346373036046,0.20152959540145593,0.48672726592213467
"w1=0.37, w2=0.25, w3=0.25, w4=0.12",0.3879003558718861,1.7663141600558707,0.2016805004077923,0.4867088598247795
"w1=0.38, w2=0.25, w3=0.22, w4=0.14",0.38701067615658363,1.7661108510880779,0.20017454975659013,0.48667514336893036
"w1=0.33, w2=0.28, w3=0.27, w4=0.12",0.38523131672597866,1.7760392129532179,0.20383530168446104,0.48667291044829464
"w1=0.38, w2=0.25, w3=0.21, w4=0.15",0.3861209964412811,1.767261029759725,0.1995179069631738,0.4866573320836335
"w1=0.34, w2=0.29, w3=0.22, w4=0.14",0.38523131672597866,1.775236583256898,0.20340669434680447,0.48664096671032764
"w1=0.31, w2=0.3, w3=0.23, w4=0.15",0.3816725978647687,1.7842011574110501,0.20345375736169052,0.48664040320608726
"w1=0.36, w2=0.26, w3=0.26, w4=0.12",0.38701067615658363,1.768852508002782,0.2021814760508829,0.48662139686358336
"w1=0.43, w2=0.24, w3=0.21, w4=0.12",0.3932384341637011,1.7529716702502387,0.20200068478273966,0.48661334569707637
"w1=0.38, w2=0.25, w3=0.24, w4=0.12",0.3887900355871886,1.7639008281102802,0.20187288368102885,0.4866133183113417
"w1=0.38, w2=0.27, w3=0.22, w4=0.13",0.3887900355871886,1.7648919232479503,0.2025347452952832,0.4866129788545994
"w1=0.41, w2=0.23, w3=0.21, w4=0.15",0.3879003558718861,1.7608172606148296,0.19836655413434734,0.4866036638186048
"w1=0.32, w2=0.29, w3=0.27, w4=0.11",0.3861209964412811,1.777013010803133,0.20622369932494714,0.48659599058378306
"w1=0.32, w2=0.29, w3=0.25, w4=0.14",0.38256227758007116,1.7807794840211875,0.2028122676708783,0.4865933552930096
"w1=0.34, w2=0.28, w3=0.22, w4=0.15",0.3834519572953737,1.7766583656555983,0.20158819463588462,0.4865811933880412
"w1=0.35, w2=0.28, w3=0.24, w4=0.13",0.3861209964412811,1.772028477019308,0.202973983462898,0.48657399858563277
"w1=0.39, w2=0.24, w3=0.22, w4=0.15",0.3861209964412811,1.7653319049710638,0.19851575319687353,0.4865721532557913
"w1=0.33, w2=0.28, w3=0.26, w4=0.12",0.38523131672597866,1.7757447518893354,0.2040579781187971,0.4865472153052173
"w1=0.43, w2=0.22, w3=0.22, w4=0.12",0.39234875444839856,1.752982866854415,0.20077164278852858,0.4865394577585237
"w1=0.38, w2=0.25, w3=0.25, w4=0.11",0.3896797153024911,1.7628435178763489,0.20290736006690882,0.48653635320644273
"w1=0.34, w2=0.27, w3=0.23, w4=0.15",0.38256227758007116,1.776908928233315,0.2004438600847298,0.48652976641127965
"w1=0.42, w2=0.23, w3=0.22, w4=0.13",0.3905693950177936,1.7563561251712612,0.2001049961344361,0.48652442370281823
"w1=0.39, w2=0.27, w3=0.21, w4=0.13",0.3896797153024911,1.762546287577428,0.2027670775209414,0.4865189919104488
"w1=0.32, w2=0.29, w3=0.26, w4=0.13",0.3834519572953737,1.779588695820661,0.20375400893962944,0.48651751512993024
"w1=0.32, w2=0.3, w3=0.22, w4=0.15",0.38256227758007116,1.7814738211137493,0.20358426456675144,0.48650062364276003
"w1=0.38, w2=0.26, w3=0.22, w4=0.14",0.38701067615658363,1.7661806084715705,0.20081032762118145,0.4864983614862515
"w1=0.41, w2=0.23, w3=0.22, w4=0.13",0.3896797153024911,1.7583404218954501,0.2000864195208352,0.48648201617408504
"w1=0.34, w2=0.27, w3=0.27, w4=0.12",0.38523131672597866,1.773682013438937,0.20291575826447278,0.48647733357143497
"w1=0.37, w2=0.26, w3=0.22, w4=0.14",0.3861209964412811,1.7683375304886566,0.2008755405882947,0.4864653421418835
"w1=0.4, w2=0.22, w3=0.22, w4=0.15",0.3861209964412811,1.7631112636031703,0.19740545587473887,0.48646111417885296
"w1=0.34, w2=0.28, w3=0.25, w4=0.12",0.3861209964412811,1.773159194463994,0.20410989276283756,0.4864593692845881
