Date,Votable Supply,Circulating Supply
2023-12-04,82765569.72,911294948.0
2023-12-05,82498452.48,911294948.0
2023-12-06,82944352.75,911294948.0
2023-12-07,82127363.78,911294948.0
2023-12-08,82158482.04,911294948.0
2023-12-09,82051659.44,911294948.0
2023-12-10,82000609.04,911294948.0
2023-12-11,81792099.12,911294948.0
2023-12-12,81534903.35,911294948.0
2023-12-13,81700583.44,911294948.0
2023-12-14,81731496.13,911294948.0
2023-12-15,81707088.7,911294948.0
2023-12-16,81642104.65,911294948.0
2023-12-17,81603284.22,911294948.0
2023-12-18,81058572.53,911294948.0
2023-12-19,80957551.86,911294948.0
2023-12-20,80819116.73,911294948.0
2023-12-21,80727780.38,911294948.0
2023-12-22,76850174.41,911294948.0
2023-12-23,76503915.0,911294948.0
2023-12-24,76171580.22,911294948.0
2023-12-25,76105787.19,911294948.0
2023-12-26,76063269.96,911294948.0
2023-12-27,75251500.63,911294948.0
2023-12-28,75047182.04,911294948.0
2023-12-29,74973578.22,911294948.0
2023-12-30,74927314.27,911294948.0
2023-12-31,74905236.67,911294948.0
2024-01-01,74779230.47,911294948.0
2024-01-02,74244867.78,911294948.0
2024-01-03,73764045.53,911294948.0
2024-01-04,73792060.55,911294948.0
2024-01-05,73800200.2,911294948.0
2024-01-06,73760674.07,911294948.0
2024-01-07,73837490.38,911294948.0
2024-01-08,73918490.82,911294948.0
2024-01-09,73805710.74,957378568.0
2024-01-10,73861336.12,957378568.0
2024-01-11,73690653.49,957378568.0
2024-01-12,73449269.83,957378568.0
2024-01-13,73344587.06,957378568.0
2024-01-14,73244324.19,957378568.0
2024-01-15,72737503.78,957378568.0
2024-01-16,72712126.07,957378568.0
2024-01-17,72639280.18,957378568.0
2024-01-18,89035209.01,957378568.0
2024-01-19,88970519.92,957378568.0
2024-01-20,88872382.18,957378568.0
2024-01-21,88793799.87,957378568.0
2024-01-22,88756442.89,957378568.0
2024-01-23,88749073.24,957378568.0
2024-01-24,88788223.61,957378568.0
2024-01-25,88757109.48,957378568.0
2024-01-26,88995782.29,957378568.0
2024-01-27,88979751.1,957378568.0
2024-01-28,88708693.37,957378568.0
2024-01-29,88791756.55,957378568.0
2024-01-30,88719196.5,957378568.0
2024-01-31,88773757.29,957378568.0
2024-02-01,88664662.48,957378568.0
2024-02-02,88595816.08,957378568.0
2024-02-03,88627420.62,957378568.0
