Date,Volume Traded (24h),Circulating Supply
28/09/2024,131582534.5,1255222577
29/09/2024,71013549.24,1254163962
30/09/2024,100484102.5,1255329803
01/10/2024,143408568,1254885583
02/10/2024,191937709,1256184371
03/10/2024,153563079.8,1254499867
04/10/2024,165760998.1,1254064367
05/10/2024,127160075.2,1253851192
06/10/2024,97385824.68,1254890202
07/10/2024,87896845.18,1255250792
08/10/2024,131776509,1257930747
09/10/2024,119660653.3,1255199409
10/10/2024,141955429.4,1256181596
11/10/2024,121022906.5,1254096303
12/10/2024,137292483.6,1255014083
13/10/2024,99363906.8,1255127534
14/10/2024,99579695.41,1254427606
15/10/2024,123465119.7,1255549183
16/10/2024,140944541.6,1255070491
17/10/2024,131699404.6,1253997490
18/10/2024,109405741.2,1254651482
19/10/2024,99717974.44,1255070491
20/10/2024,69019305.15,1254936780
21/10/2024,114185763,1254902048
22/10/2024,113719498.6,1254930847
23/10/2024,109600864.9,1254914727
24/10/2024,186222089,1253770328
25/10/2024,168026441.8,1253989477
26/10/2024,245790575.3,1251884593
27/10/2024,213779479.7,1255712185
28/10/2024,139354872.5,1251789625
29/10/2024,200111317,1254784623
30/10/2024,211688782.9,1250764121
31/10/2024,200104408.9,1257660979
01/11/2024,193456563,1256094157
02/11/2024,227399321.7,1254169706
03/11/2024,232864289,1254877791
04/11/2024,252921156,1255709963
05/11/2024,269769041,1254566939
06/11/2024,233151298.1,1255687720
07/11/2024,351247759.3,1255780084
08/11/2024,321730824.6,1255096516
09/11/2024,265166695.5,1255419961
10/11/2024,320624129.5,1259029561
11/11/2024,566031164.4,1251272657
12/11/2024,516659626.5,1254725551
13/11/2024,613875875,1254474773
14/11/2024,558846176.3,1257827768
15/11/2024,436176800,1252357483
16/11/2024,322740252.2,1255722601
17/11/2024,367020987.8,1253816020
18/11/2024,393419844.6,1255006290
19/11/2024,360041905.5,1255913234
20/11/2024,284404912.9,1258007634
21/11/2024,330545420,1257724978
22/11/2024,650046779.4,1255018796
23/11/2024,587466214.4,1253120049
24/11/2024,504730235.8,1253416057
25/11/2024,387676317.6,1258516956
26/11/2024,517915494.7,1255093901
27/11/2024,383360373.1,1254606831
28/11/2024,343353805.6,1243860210
29/11/2024,344362114.5,1253487219
30/11/2024,197672579.3,1254761730
