Date,OP_Price
2023-05-07,1.870811119
2023-05-08,1.899268789
2023-05-09,1.719752621
2023-05-10,1.705836268
2023-05-11,1.72660808
2023-05-12,1.562845087
2023-05-13,1.675963173
2023-05-14,1.636566356
2023-05-15,1.634999481
2023-05-16,1.647910236
2023-05-17,1.655899527
2023-05-18,1.800081036
2023-05-19,1.739785605
2023-05-20,1.668712343
2023-05-21,1.689870312
2023-05-22,1.636470697
2023-05-23,1.632454256
2023-05-24,1.669222977
2023-05-25,1.595587812
2023-05-26,1.617960162
2023-05-27,1.610852868
2023-05-28,1.600020753
2023-05-29,1.647115063
2023-05-30,1.52669849
2023-05-31,1.419476806
2023-06-01,1.388170977
2023-06-02,1.388343737
2023-06-03,1.448951683
2023-06-04,1.481750379
2023-06-05,1.483784245
2023-06-06,1.388387816
2023-06-07,1.495593533
2023-06-08,1.371283916
2023-06-09,1.368273763
2023-06-10,1.331753053
2023-06-11,1.09580701
2023-06-12,1.090522619
2023-06-13,1.132211754
2023-06-14,1.148812364
2023-06-15,1.083747933
2023-06-16,1.107831168
2023-06-17,1.128018781
2023-06-18,1.132663331
2023-06-19,1.097037469
2023-06-20,1.128412285
2023-06-21,1.324661538
2023-06-22,1.43840663
2023-06-23,1.354233459
2023-06-24,1.383358168
2023-06-25,1.306486256
2023-06-26,1.332701328
2023-06-27,1.281911719
2023-06-28,1.308532131
2023-06-29,1.217770287
2023-06-30,1.222860046
2023-07-01,1.3311265
2023-07-02,1.348230791
2023-07-03,1.331238525
2023-07-04,1.347603148
2023-07-05,1.287386898
2023-07-06,1.234116667
2023-07-07,1.192310792
2023-07-08,1.223505494
2023-07-09,1.215678456
2023-07-10,1.213633268
2023-07-11,1.199194757
2023-07-12,1.22211319
2023-07-13,1.217409919
2023-07-14,1.367162499
2023-07-15,1.442016113
2023-07-16,1.454235113
2023-07-17,1.495642732
2023-07-18,1.480668799
2023-07-19,1.426602626
2023-07-20,1.56269323
2023-07-21,1.52954578
2023-07-22,1.507306012
2023-07-23,1.560958956
2023-07-24,1.583003114
2023-07-25,1.510793148
2023-07-26,1.450022555
2023-07-27,1.511277698
2023-07-28,1.495327558
2023-07-29,1.478378358
2023-07-30,1.509190691
2023-07-31,1.617298653
2023-08-01,1.620019814
2023-08-02,1.639509284
2023-08-03,1.637378669
2023-08-04,1.716115106
2023-08-05,1.685273781
2023-08-06,1.68903767
2023-08-07,1.700350648
2023-08-08,1.796504089
2023-08-09,1.682993936
2023-08-10,1.554537658
2023-08-11,1.577346729
2023-08-12,1.586288622
2023-08-13,1.551728932
2023-08-14,1.538775524
2023-08-15,1.532507573
2023-08-16,1.471614628
2023-08-17,1.404876031
2023-08-18,1.360736983
2023-08-19,1.440279956
2023-08-20,1.47243091
2023-08-21,1.471873431
2023-08-22,1.531205567
2023-08-23,1.577989285
2023-08-24,1.558415703
2023-08-25,1.58597202
2023-08-26,1.469247063
2023-08-27,1.481861934
